Date,Open,High,Low,Close,Adj Close,Volume
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,null,null,null,null,null,null
2020-09-23,null,null,null,null,null,null
2020-09-24,null,null,null,null,null,null
2020-09-25,null,null,null,null,null,null
2020-09-26,null,null,null,null,null,null
2020-09-27,null,null,null,null,null,null
2020-09-28,null,null,null,null,null,null
2020-09-29,null,null,null,null,null,null
2020-09-30,0.001728,0.001728,0.001728,0.001728,0.001728,0
2020-10-01,0.001728,0.001728,0.001728,0.001728,0.001728,0
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,null,null,null,null,null,null
2020-10-06,null,null,null,null,null,null
2020-10-07,null,null,null,null,null,null
2020-10-08,null,null,null,null,null,null
2020-10-09,null,null,null,null,null,null
2020-10-10,null,null,null,null,null,null
2020-10-11,null,null,null,null,null,null
2020-10-12,null,null,null,null,null,null
2020-10-13,0.001745,0.001745,0.001690,0.001715,0.001715,0
2020-10-14,null,null,null,null,null,null
2020-10-15,null,null,null,null,null,null
2020-10-16,null,null,null,null,null,null
2020-10-17,null,null,null,null,null,null
2020-10-18,null,null,null,null,null,null
2020-10-19,null,null,null,null,null,null
2020-10-20,null,null,null,null,null,null
2020-10-21,0.001661,0.001803,0.001659,0.001765,0.001765,0
2020-10-22,0.001765,0.001891,0.001761,0.001862,0.001862,0
2020-10-23,0.004814,0.004894,0.004613,0.004816,0.004816,5095224
2020-10-24,0.004816,0.004957,0.004758,0.004804,0.004804,4057657
2020-10-25,0.004804,0.004838,0.004587,0.004709,0.004709,4435096
2020-10-26,0.004709,0.004781,0.004434,0.004650,0.004650,2560969
2020-10-27,0.004650,0.004684,0.004151,0.004242,0.004242,4464683
2020-10-28,0.004242,0.004372,0.004090,0.004159,0.004159,2483790
2020-10-29,0.004159,0.004319,0.004159,0.004229,0.004229,1875957
2020-10-30,0.004229,0.004285,0.003907,0.004193,0.004193,2709372
2020-10-31,0.004193,0.004469,0.004130,0.004389,0.004389,2536338
2020-11-01,0.004389,0.005486,0.004389,0.004820,0.004820,7521441
2020-11-02,0.004820,0.004867,0.004385,0.004386,0.004386,3528292
2020-11-03,0.004386,0.004389,0.004033,0.004134,0.004134,2572863
2020-11-04,0.004134,0.004392,0.004056,0.004257,0.004257,2629773
2020-11-05,0.004257,0.004423,0.004048,0.004253,0.004253,3654301
2020-11-06,0.004253,0.004922,0.004251,0.004868,0.004868,5572060
2020-11-07,0.004868,0.005222,0.004381,0.004734,0.004734,4053191
2020-11-08,0.004734,0.005082,0.004674,0.005035,0.005035,2215482
2020-11-09,0.005035,0.005286,0.004724,0.005249,0.005249,3088197
2020-11-10,0.005249,0.005464,0.005065,0.005325,0.005325,5083719
2020-11-11,0.005325,0.005408,0.005062,0.005148,0.005148,3251811
2020-11-12,0.005148,0.005159,0.004909,0.005038,0.005038,3071969
2020-11-13,0.005038,0.005235,0.005021,0.005210,0.005210,2352958
2020-11-14,0.005210,0.005251,0.004862,0.004878,0.004878,3080911
2020-11-15,0.004878,0.005015,0.004694,0.004751,0.004751,3591115
2020-11-16,0.004751,0.004981,0.004698,0.004891,0.004891,3368334
2020-11-17,0.004940,0.005177,0.004905,0.004959,0.004959,3629947
2020-11-18,0.004959,0.005069,0.004453,0.004766,0.004766,4367166
2020-11-19,0.004767,0.004908,0.004598,0.004643,0.004643,3600358
2020-11-20,0.004643,0.005308,0.004614,0.005100,0.005100,6365816
2020-11-21,0.005100,0.005618,0.005100,0.005565,0.005565,6303197
2020-11-22,0.005565,0.005736,0.005007,0.005180,0.005180,5518171
2020-11-23,0.005180,0.005886,0.005112,0.005447,0.005447,7613309
2020-11-24,0.005449,0.006287,0.005416,0.005962,0.005962,10572199
2020-11-25,0.005962,0.006759,0.005731,0.006063,0.006063,11409092
2020-11-26,0.006075,0.006391,0.004799,0.005301,0.005301,10718337
2020-11-27,0.005295,0.005417,0.004831,0.004996,0.004996,4073504
2020-11-28,0.005000,0.005431,0.004983,0.005340,0.005340,4375418
2020-11-29,0.005340,0.005485,0.005272,0.005425,0.005425,3914566
2020-11-30,0.005425,0.005673,0.005302,0.005578,0.005578,4732661
2020-12-01,0.005567,0.005651,0.005192,0.005325,0.005325,7037690
2020-12-02,0.005325,0.005446,0.005257,0.005411,0.005411,4155560
2020-12-03,0.005411,0.005432,0.005294,0.005316,0.005316,3909482
2020-12-04,0.005316,0.005439,0.005035,0.005070,0.005070,4222789
2020-12-05,0.005078,0.005252,0.004910,0.005161,0.005161,3748582
2020-12-06,null,null,null,null,null,null
2020-12-07,0.005116,0.005204,0.004899,0.005183,0.005183,4298858
2020-12-08,0.005179,0.005198,0.004714,0.004734,0.004734,3897367
2020-12-09,0.004733,0.005175,0.004641,0.005135,0.005135,4807615
2020-12-10,null,null,null,null,null,null
2020-12-11,0.004854,0.004857,0.004545,0.004561,0.004561,3590392
2020-12-12,0.004561,0.005261,0.004554,0.005235,0.005235,5116271
2020-12-13,null,null,null,null,null,null
2020-12-14,0.005380,0.005380,0.005038,0.005222,0.005222,4558617
2020-12-15,0.005218,0.005485,0.005068,0.005405,0.005405,5212700
2020-12-16,null,null,null,null,null,null
2020-12-17,0.005565,0.005667,0.005081,0.005138,0.005138,8309447
2020-12-18,0.005138,0.005273,0.004989,0.005185,0.005185,6024411
2020-12-19,null,null,null,null,null,null
2020-12-20,0.005206,0.005478,0.005109,0.005282,0.005282,6466556
2020-12-21,0.005276,0.005332,0.004761,0.005021,0.005021,5000178
2020-12-22,null,null,null,null,null,null
2020-12-23,0.005120,0.005148,0.004135,0.004363,0.004363,5328791
2020-12-24,0.004362,0.004730,0.004316,0.004711,0.004711,3946547
2020-12-25,null,null,null,null,null,null
2020-12-26,0.004751,0.004846,0.004558,0.004756,0.004756,3460663
2020-12-27,0.004761,0.005115,0.004677,0.004908,0.004908,4437831
2020-12-28,null,null,null,null,null,null
2020-12-29,0.004800,0.004803,0.004632,0.004642,0.004642,3613808
