Date,Open,High,Low,Close,Adj Close,Volume
2020-10-04,null,null,null,null,null,null
2020-10-05,0.001042,0.001411,0.001009,0.001044,0.001044,272860
2020-10-06,0.001063,0.001411,0.000976,0.001012,0.001012,491420
2020-10-07,0.001018,0.001409,0.000973,0.001019,0.001019,575736
2020-10-08,0.001033,0.001409,0.000983,0.001055,0.001055,413101
2020-10-09,0.001049,0.001403,0.001013,0.001250,0.001250,568003
2020-10-10,0.001248,0.001328,0.001247,0.001282,0.001282,448190
2020-10-11,0.001283,0.001328,0.001261,0.001296,0.001296,563969
2020-10-12,0.001327,0.001356,0.001249,0.001333,0.001333,591078
2020-10-13,0.001315,0.001332,0.001276,0.001328,0.001328,36982
2020-10-14,0.001328,0.001332,0.001270,0.001288,0.001288,564536
2020-10-15,0.001288,0.001328,0.001260,0.001281,0.001281,563027
2020-10-16,0.001281,0.003726,0.001234,0.002518,0.002518,37451
2020-10-17,0.002681,0.078014,0.002486,0.014852,0.014852,6861990
2020-10-18,0.014852,0.015487,0.002702,0.010437,0.010437,2840320
2020-10-19,0.010437,0.012736,0.002834,0.006697,0.006697,1315970
2020-10-20,0.574182,0.577664,0.565378,0.572650,0.572650,3644600
2020-10-21,0.573516,0.584315,0.563391,0.577094,0.577094,3157420
2020-10-22,0.576857,0.585955,0.563045,0.563254,0.563254,3759325
2020-10-23,0.564276,0.575321,0.515450,0.533237,0.533237,3454065
2020-10-24,0.533264,0.550219,0.526849,0.536440,0.536440,3481980
2020-10-25,0.536388,0.552439,0.525229,0.533642,0.533642,3486672
2020-10-26,0.533709,0.535486,0.506414,0.521577,0.521577,3298026
2020-10-27,0.521613,0.533220,0.515957,0.524272,0.524272,3193694
2020-10-28,0.524455,0.524455,0.489917,0.494264,0.494264,3022610
2020-10-29,0.494270,0.496542,0.477193,0.492654,0.492654,2666540
2020-10-30,0.492661,0.500323,0.470317,0.493394,0.493394,3125297
2020-10-31,0.493395,0.504242,0.489024,0.496558,0.496558,2964596
2020-11-01,0.496555,0.537142,0.479082,0.515638,0.515638,2926576
2020-11-02,0.515648,0.518255,0.476968,0.482955,0.482955,3062453
2020-11-03,0.482844,0.524957,0.469718,0.486654,0.486654,2969438
2020-11-04,0.487009,0.509591,0.477241,0.499125,0.499125,2847345
2020-11-05,0.499135,0.539496,0.495548,0.535428,0.535428,3528009
2020-11-06,0.535627,0.551415,0.530123,0.550400,0.550400,3367662
2020-11-07,0.550531,0.569564,0.538310,0.541809,0.541809,3501491
2020-11-08,0.541657,0.556118,0.535045,0.553538,0.553538,3562747
2020-11-09,0.553476,0.563792,0.540810,0.562137,0.562137,3475089
2020-11-10,0.562120,0.565004,0.521092,0.528371,0.528371,3254691
2020-11-11,0.528360,0.537573,0.499928,0.507708,0.507708,3093215
2020-11-12,0.507801,0.518803,0.487104,0.495194,0.495194,3454429
2020-11-13,0.495196,0.509912,0.483747,0.496034,0.496034,3393180
2020-11-14,0.496082,0.503916,0.485101,0.500839,0.500839,3280144
2020-11-15,0.500768,0.507853,0.493804,0.496898,0.496898,3214870
2020-11-16,0.496843,0.515153,0.485975,0.506578,0.506578,3045852
2020-11-17,0.508129,0.547013,0.502770,0.546394,0.546394,2817906
2020-11-18,0.546188,0.557722,0.535501,0.544997,0.544997,2867640
2020-11-19,0.544911,0.553391,0.526991,0.546925,0.546925,4213336
2020-11-20,0.546924,0.563317,0.541229,0.561970,0.561970,4788274
2020-11-21,0.561952,0.575263,0.546530,0.567632,0.567632,4709988
2020-11-22,0.567648,0.574080,0.556360,0.561568,0.561568,4440434
2020-11-23,0.561556,0.576804,0.560915,0.563274,0.563274,3944245
2020-11-24,0.563816,0.600325,0.556904,0.580797,0.580797,3899245
2020-11-25,0.581143,0.603895,0.573913,0.587617,0.587617,3944425
2020-11-26,0.588443,0.594955,0.511167,0.523307,0.523307,3798573
2020-11-27,0.522028,0.551872,0.510573,0.527338,0.527338,3595247
2020-11-28,0.525751,0.557739,0.518411,0.552197,0.552197,3513308
2020-11-29,0.552370,0.561255,0.532963,0.547764,0.547764,3491151
2020-11-30,0.547206,0.554133,0.512365,0.530054,0.530054,3628234
2020-12-01,0.530363,0.534393,0.503897,0.521837,0.521837,3620688
2020-12-02,0.517393,0.537572,0.503460,0.514985,0.514985,3718036
2020-12-03,0.514589,0.538511,0.513208,0.535660,0.535660,4011638
2020-12-04,0.534885,0.541527,0.514731,0.527654,0.527654,4175300
2020-12-05,null,null,null,null,null,null
2020-12-06,0.531881,0.536736,0.515283,0.531527,0.531527,3704807
2020-12-07,0.531582,0.576268,0.514141,0.560713,0.560713,3668300
2020-12-08,0.560201,0.572068,0.527874,0.564868,0.564868,3698953
2020-12-09,null,null,null,null,null,null
2020-12-10,0.551903,0.556646,0.536323,0.553578,0.553578,2961066
2020-12-11,0.553456,0.555523,0.531709,0.547225,0.547225,4393628
2020-12-12,null,null,null,null,null,null
2020-12-13,0.569432,0.574237,0.542019,0.565321,0.565321,4301136
2020-12-14,0.564932,0.565181,0.543211,0.552801,0.552801,3783898
2020-12-15,null,null,null,null,null,null
2020-12-16,0.566882,0.596933,0.546708,0.591109,0.591109,5071656
2020-12-17,0.591462,0.612563,0.582703,0.586067,0.586067,5003302
2020-12-18,null,null,null,null,null,null
2020-12-19,0.619078,0.619498,0.594412,0.604017,0.604017,5289928
2020-12-20,0.604285,0.613160,0.571762,0.602353,0.602353,5011176
2020-12-21,null,null,null,null,null,null
2020-12-22,0.605860,0.627894,0.583102,0.597631,0.597631,5567063
2020-12-23,0.597624,0.620390,0.588565,0.594094,0.594094,5607044
2020-12-24,null,null,null,null,null,null
2020-12-25,0.584443,0.615752,0.584443,0.601518,0.601518,5471190
2020-12-26,0.601826,0.630266,0.601826,0.618166,0.618166,5726945
2020-12-27,null,null,null,null,null,null
2020-12-28,0.613259,0.628387,0.594625,0.612326,0.612326,5028706
2020-12-29,0.623109,0.624512,0.609826,0.619294,0.619294,4887699
